,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
100,2,4,8,2,94.8,108.3,647.1,17.0,20.1,40,4.0,0.0,0.0
101,2,4,9,6,92.5,121.1,674.4,8.6,24.1,29,4.5,0.0,0.0
103,4,5,3,5,85.9,19.5,57.3,2.8,12.7,52,6.3,0.0,0.0
104,4,5,3,4,91.4,30.7,74.3,7.5,18.2,29,3.1,0.0,0.0
105,4,5,8,7,90.2,99.6,631.2,6.3,21.4,33,3.1,0.0,0.0
106,4,5,9,6,92.5,88.0,698.6,7.1,20.3,45,3.1,0.0,0.0
107,4,5,9,1,88.6,91.8,709.9,7.1,17.4,56,5.4,0.0,0.0
108,4,4,3,5,85.9,19.5,57.3,2.8,13.7,43,5.8,0.0,0.0
109,3,4,3,5,91.7,33.3,77.5,9.0,18.8,18,4.5,0.0,0.0
110,3,4,9,7,89.7,90.0,704.4,4.8,22.8,39,3.6,0.0,0.0
111,3,4,9,1,91.8,78.5,724.3,9.2,18.9,35,2.7,0.0,0.0
112,3,4,3,2,88.1,25.7,67.6,3.8,15.8,27,7.6,0.0,0.0
113,3,5,3,2,88.1,25.7,67.6,3.8,15.5,27,6.3,0.0,0.0
114,3,4,3,6,91.7,35.8,80.8,7.8,11.6,30,6.3,0.0,0.0
115,3,4,3,6,91.7,35.8,80.8,7.8,15.2,27,4.9,0.0,0.0
116,3,4,3,1,90.1,39.7,86.6,6.2,10.6,30,4.0,0.0,0.0
117,3,4,8,4,93.0,75.3,466.6,7.7,19.6,36,3.1,0.0,0.0
118,3,4,8,1,91.5,145.4,608.2,10.7,10.3,74,2.2,0.0,0.0
119,3,4,8,1,91.5,145.4,608.2,10.7,17.1,43,5.4,0.0,0.0
120,3,4,9,7,92.4,124.1,680.7,8.5,22.5,42,5.4,0.0,0.0
121,3,4,9,2,84.4,73.4,671.9,3.2,17.9,45,3.1,0.0,0.0
122,3,4,9,5,94.3,85.1,692.3,15.9,19.8,50,5.4,0.0,0.0
123,3,4,10,7,92.6,46.5,691.8,8.8,20.6,24,5.4,0.0,0.0
124,3,5,3,1,87.6,52.2,103.8,5.0,9.0,49,2.2,0.0,0.0
125,3,5,9,5,93.5,149.3,728.6,8.1,17.2,43,3.1,0.0,0.0
126,3,5,10,3,91.4,37.9,673.8,5.2,15.9,46,3.6,0.0,0.0
127,2,5,10,7,92.6,46.5,691.8,8.8,15.4,35,0.9,0.0,0.0
128,4,6,2,6,68.2,21.5,87.2,0.8,15.4,40,2.7,0.0,0.0
129,4,6,3,1,87.2,23.9,64.7,4.1,14.0,39,3.1,0.0,0.0
130,4,6,3,7,89.3,51.3,102.2,9.6,10.6,46,4.9,0.0,0.0
131,4,6,9,4,93.7,80.9,685.2,17.9,17.6,42,3.1,0.0,0.0
132,3,5,3,2,88.1,25.7,67.6,3.8,14.9,38,2.7,0.0,0.0
133,3,5,8,6,93.5,139.4,594.2,20.3,17.6,52,5.8,0.0,0.0
134,3,6,9,7,92.4,124.1,680.7,8.5,17.2,58,1.3,0.0,0.0
135,3,6,9,1,90.9,126.5,686.5,7.0,15.6,66,3.1,0.0,0.0
136,9,9,7,2,85.8,48.3,313.4,3.9,18.0,42,2.7,0.0,0.36
137,1,4,9,2,91.0,129.5,692.6,7.0,21.7,38,2.2,0.0,0.43
138,2,5,9,1,90.9,126.5,686.5,7.0,21.9,39,1.8,0.0,0.47
139,1,2,8,3,95.5,99.9,513.3,13.2,23.3,31,4.5,0.0,0.55
140,8,6,8,5,90.1,108.0,529.8,12.5,21.2,51,8.9,0.0,0.61
141,1,2,7,6,90.0,51.3,296.3,8.7,16.6,53,5.4,0.0,0.71
142,2,5,8,3,95.5,99.9,513.3,13.2,23.8,32,5.4,0.0,0.77
143,6,5,8,4,95.2,131.7,578.8,10.4,27.4,22,4.0,0.0,0.9
144,5,4,3,1,90.1,39.7,86.6,6.2,13.2,40,5.4,0.0,0.95
145,8,3,9,2,84.4,73.4,671.9,3.2,24.2,28,3.6,0.0,0.96
146,2,2,8,2,94.8,108.3,647.1,17.0,17.4,43,6.7,0.0,1.07
147,8,6,9,4,93.7,80.9,685.2,17.9,23.7,25,4.5,0.0,1.12
148,6,5,6,5,92.5,56.4,433.3,7.1,23.2,39,5.4,0.0,1.19
149,9,9,7,7,90.1,68.6,355.2,7.2,24.8,29,2.2,0.0,1.36
150,3,4,7,6,90.1,51.2,424.1,6.2,24.6,43,1.8,0.0,1.43
151,5,4,9,5,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,1.46
152,1,5,9,6,93.4,145.4,721.4,8.1,29.6,27,2.7,0.0,1.46
153,7,4,8,7,94.8,108.3,647.1,17.0,16.4,47,1.3,0.0,1.56
154,2,4,9,6,93.4,145.4,721.4,8.1,28.6,27,2.2,0.0,1.61
155,2,2,8,3,92.1,111.2,654.1,9.6,18.4,45,3.6,0.0,1.63
156,2,4,8,3,92.1,111.2,654.1,9.6,20.5,35,4.0,0.0,1.64
157,7,4,9,5,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,1.69
158,7,4,3,1,90.1,39.7,86.6,6.2,16.1,29,3.1,0.0,1.75
159,6,4,8,4,95.2,131.7,578.8,10.4,20.3,41,4.0,0.0,1.9
160,6,3,3,6,90.6,50.1,100.4,7.8,15.2,31,8.5,0.0,1.94
161,8,6,9,6,92.5,121.1,674.4,8.6,17.8,56,1.8,0.0,1.95
162,8,5,9,7,89.7,90.0,704.4,4.8,17.8,67,2.2,0.0,2.01
163,6,5,3,4,84.9,18.2,55.0,3.0,5.3,70,4.5,0.0,2.14
164,6,5,8,3,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,2.29
165,6,5,8,3,96.0,127.1,570.5,16.5,23.4,33,4.5,0.0,2.51
166,6,5,3,5,91.2,48.3,97.8,12.5,14.6,26,9.4,0.0,2.53
167,8,6,8,4,95.2,131.7,578.8,10.4,20.7,45,2.2,0.0,2.55
168,5,4,9,3,92.9,133.3,699.6,9.2,21.9,35,1.8,0.0,2.57
169,8,6,8,3,85.6,90.4,609.6,6.6,17.4,50,4.0,0.0,2.69
170,7,4,8,7,91.4,142.4,601.4,10.6,20.1,39,5.4,0.0,2.74
171,4,4,9,1,90.9,126.5,686.5,7.0,17.7,39,2.2,0.0,3.07
172,1,4,8,6,90.2,96.9,624.2,8.9,14.2,53,1.8,0.0,3.5
173,1,4,8,6,90.2,96.9,624.2,8.9,20.3,39,4.9,0.0,4.53
174,6,5,4,4,81.5,9.1,55.2,2.7,5.8,54,5.8,0.0,4.61
175,2,5,8,7,90.2,99.6,631.2,6.3,19.2,44,2.7,0.0,4.69
176,2,5,9,3,90.1,82.9,735.7,6.2,18.3,45,2.2,0.0,4.88
177,8,6,8,2,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,5.23
178,1,3,9,7,92.4,124.1,680.7,8.5,23.9,32,6.7,0.0,5.33
179,8,6,10,1,84.9,32.8,664.2,3.0,19.1,32,4.0,0.0,5.44
180,5,4,2,7,86.8,15.6,48.3,3.9,12.4,53,2.2,0.0,6.38
181,7,4,10,1,91.7,48.5,696.1,11.1,16.8,45,4.5,0.0,6.83
182,8,6,8,5,93.9,135.7,586.7,15.1,20.8,34,4.9,0.0,6.96
183,2,5,9,2,91.0,129.5,692.6,7.0,17.6,46,3.1,0.0,7.04
184,8,6,3,7,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,7.19
185,1,5,9,1,90.9,126.5,686.5,7.0,21.0,42,2.2,0.0,7.3
186,6,4,3,6,90.8,41.9,89.4,7.9,13.3,42,0.9,0.0,7.4
187,7,4,3,7,90.7,44.0,92.4,5.5,11.5,60,4.0,0.0,8.24
188,6,5,3,5,91.2,48.3,97.8,12.5,11.7,33,4.0,0.0,8.31
189,2,5,8,4,95.2,131.7,578.8,10.4,24.2,28,2.7,0.0,8.68
190,2,2,8,2,94.8,108.3,647.1,17.0,24.6,22,4.5,0.0,8.71
191,4,5,9,3,92.9,133.3,699.6,9.2,24.3,25,4.0,0.0,9.41
192,2,2,8,2,94.8,108.3,647.1,17.0,24.6,22,4.5,0.0,10.01
193,2,5,8,5,93.9,135.7,586.7,15.1,23.5,36,5.4,0.0,10.02
194,6,5,4,4,81.5,9.1,55.2,2.7,5.8,54,5.8,0.0,10.93
195,4,5,9,4,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,11.06
196,3,4,9,2,91.0,129.5,692.6,7.0,13.9,59,6.3,0.0,11.24
197,2,4,9,1,63.5,70.8,665.3,0.8,22.6,38,3.6,0.0,11.32
198,1,5,9,2,91.0,129.5,692.6,7.0,21.6,33,2.2,0.0,11.53
199,6,5,3,7,90.1,37.6,83.7,7.2,12.4,54,3.6,0.0,12.1
200,7,4,2,7,83.9,8.7,32.1,2.1,8.8,68,2.2,0.0,13.05
201,8,6,10,3,91.4,37.9,673.8,5.2,20.2,37,2.7,0.0,13.7
202,5,6,3,6,90.6,50.1,100.4,7.8,15.1,64,4.0,0.0,13.99
203,4,5,9,4,92.9,137.0,706.4,9.2,22.1,34,1.8,0.0,14.57
204,2,2,8,6,93.5,139.4,594.2,20.3,22.9,31,7.2,0.0,15.45
205,7,5,9,2,91.0,129.5,692.6,7.0,20.7,37,2.2,0.0,17.2
206,6,5,9,5,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,19.23
207,8,3,9,4,93.7,80.9,685.2,17.9,23.2,26,4.9,0.0,23.41
208,4,4,10,6,90.6,43.7,686.9,6.7,18.4,25,3.1,0.0,24.23
209,7,4,8,6,93.5,139.4,594.2,20.3,5.1,96,5.8,0.0,26.0
210,7,4,9,5,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,26.13
211,7,3,3,1,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,27.35
212,4,4,3,6,91.7,35.8,80.8,7.8,17.0,27,4.9,0.0,28.66
213,4,4,9,7,92.4,124.1,680.7,8.5,16.9,60,1.3,0.0,29.48
214,1,3,9,1,88.6,91.8,709.9,7.1,12.4,73,6.3,0.0,30.32
215,4,5,9,3,92.9,133.3,699.6,9.2,19.4,19,1.3,0.0,31.72
216,6,5,3,1,90.1,39.7,86.6,6.2,15.2,27,3.1,0.0,31.86
217,8,6,8,7,90.2,99.6,631.2,6.3,16.2,59,3.1,0.0,32.07
218,3,4,9,5,93.3,141.2,713.9,13.9,18.6,49,3.6,0.0,35.88
219,4,3,3,1,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,36.85
220,2,2,7,5,88.3,150.3,309.9,6.8,13.4,79,3.6,0.0,37.02
221,7,4,9,3,90.1,82.9,735.7,6.2,15.4,57,4.5,0.0,37.71
222,4,4,9,7,93.5,149.3,728.6,8.1,22.9,39,4.9,0.0,48.55
223,7,5,10,1,91.7,48.5,696.1,11.1,16.1,44,4.0,0.0,49.37
224,8,6,8,6,92.2,81.8,480.8,11.9,20.1,34,4.5,0.0,58.3
225,4,6,9,7,93.5,149.3,728.6,8.1,28.3,26,3.1,0.0,64.1
226,8,6,8,6,92.2,81.8,480.8,11.9,16.4,43,4.0,0.0,71.3
227,4,4,9,3,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,88.49
228,1,5,9,7,93.5,149.3,728.6,8.1,27.8,27,3.1,0.0,95.18
236,7,5,4,7,81.9,3.0,7.9,3.5,13.4,75,1.8,0.0,0.0
237,6,3,4,3,88.0,17.2,43.5,3.8,15.2,51,2.7,0.0,0.0
238,4,4,4,5,83.0,23.3,85.3,2.3,16.7,20,3.1,0.0,0.0
239,2,4,8,7,94.2,122.3,589.9,12.9,15.4,66,4.0,0.0,10.13
240,7,4,8,7,91.8,175.1,700.7,13.8,21.9,73,7.6,1.0,0.0
241,2,4,8,7,91.8,175.1,700.7,13.8,22.4,54,7.6,0.0,2.87
242,3,4,8,7,91.8,175.1,700.7,13.8,26.8,38,6.3,0.0,0.76
243,5,4,8,7,91.8,175.1,700.7,13.8,25.7,39,5.4,0.0,0.09
244,2,4,8,3,92.2,91.6,503.6,9.6,20.7,70,2.2,0.0,0.75
245,8,6,8,3,93.1,157.3,666.7,13.5,28.7,28,2.7,0.0,0.0
246,3,4,8,3,93.1,157.3,666.7,13.5,21.7,40,0.4,0.0,2.47
247,8,5,8,3,93.1,157.3,666.7,13.5,26.8,25,3.1,0.0,0.68
248,8,5,8,3,93.1,157.3,666.7,13.5,24.0,36,3.1,0.0,0.24
249,6,5,8,3,93.1,157.3,666.7,13.5,22.1,37,3.6,0.0,0.21
250,7,4,8,4,91.9,109.2,565.5,8.0,21.4,38,2.7,0.0,1.52
251,6,3,8,4,91.6,138.1,621.7,6.3,18.9,41,3.1,0.0,10.34
252,2,5,8,4,87.5,77.0,694.8,5.0,22.3,46,4.0,0.0,0.0
253,8,6,8,6,94.2,117.2,581.1,11.0,23.9,41,2.2,0.0,8.02
254,4,3,8,6,94.2,117.2,581.1,11.0,21.4,44,2.7,0.0,0.68
255,3,4,8,6,91.8,170.9,692.3,13.7,20.6,59,0.9,0.0,0.0
256,7,4,8,6,91.8,170.9,692.3,13.7,23.7,40,1.8,0.0,1.38
257,2,4,8,1,93.6,97.9,542.0,14.4,28.3,32,4.0,0.0,8.85
258,3,4,8,5,91.6,112.4,573.0,8.9,11.2,84,7.6,0.0,3.3
259,2,4,8,5,91.6,112.4,573.0,8.9,21.4,42,3.1,0.0,4.25
260,6,3,8,5,91.1,141.1,629.1,7.1,19.3,39,3.6,0.0,1.56
261,4,4,8,5,94.3,167.6,684.4,13.0,21.8,53,3.1,0.0,6.54
262,4,4,8,2,93.7,102.2,550.3,14.6,22.1,54,7.6,0.0,0.79
263,6,5,8,2,94.3,131.7,607.1,22.7,19.4,55,4.0,0.0,0.17
264,2,2,8,2,92.1,152.6,658.2,14.3,23.7,24,3.1,0.0,0.0
265,3,4,8,2,92.1,152.6,658.2,14.3,21.0,32,3.1,0.0,0.0
266,4,4,8,2,92.1,152.6,658.2,14.3,19.1,53,2.7,0.0,4.4
267,2,2,8,2,92.1,152.6,658.2,14.3,21.8,56,3.1,0.0,0.52
268,8,6,8,2,92.1,152.6,658.2,14.3,20.1,58,4.5,0.0,9.27
269,2,5,8,2,92.1,152.6,658.2,14.3,20.2,47,4.0,0.0,3.09
270,4,6,12,7,84.4,27.2,353.5,6.8,4.8,57,8.5,0.0,8.98
271,8,6,12,3,84.0,27.8,354.6,5.3,5.1,61,8.0,0.0,11.19
272,4,6,12,4,84.6,26.4,352.0,2.0,5.1,61,4.9,0.0,5.38
273,4,4,12,1,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,17.85
274,3,4,12,1,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,10.73
275,4,4,12,1,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,22.03
276,4,4,12,1,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,9.77
277,4,6,12,5,84.7,26.7,352.6,4.1,2.2,59,4.9,0.0,9.27
278,6,5,12,2,85.4,25.4,349.7,2.6,5.1,24,8.5,0.0,24.77
279,6,3,2,7,84.9,27.5,353.5,3.4,4.2,51,4.0,0.0,0.0
280,3,4,2,3,86.9,6.6,18.7,3.2,8.8,35,3.1,0.0,1.1
281,5,4,2,5,85.2,4.9,15.8,6.3,7.5,46,8.0,0.0,24.24
282,2,5,7,7,93.9,169.7,411.8,12.3,23.4,40,6.3,0.0,0.0
283,7,6,7,3,91.2,183.1,437.7,12.5,12.6,90,7.6,0.2,0.0
284,7,4,7,6,91.6,104.2,474.9,9.0,22.1,49,2.7,0.0,0.0
285,7,4,7,6,91.6,104.2,474.9,9.0,24.2,32,1.8,0.0,0.0
286,7,4,7,6,91.6,104.2,474.9,9.0,24.3,30,1.8,0.0,0.0
287,2,5,7,6,91.6,104.2,474.9,9.0,18.7,53,1.8,0.0,0.0
288,9,4,7,6,91.6,104.2,474.9,9.0,25.3,39,0.9,0.0,8.0
289,4,5,7,5,91.6,100.2,466.3,6.3,22.9,40,1.3,0.0,2.64
290,7,6,7,2,93.1,180.4,430.8,11.0,26.9,28,5.4,0.0,86.45
291,8,6,7,2,92.3,88.8,440.9,8.5,17.1,67,3.6,0.0,6.57
292,7,5,6,7,93.1,180.4,430.8,11.0,22.2,48,1.3,0.0,0.0
293,6,4,6,7,90.4,89.5,290.8,6.4,14.3,46,1.8,0.0,0.9
294,8,6,6,7,90.4,89.5,290.8,6.4,15.4,45,2.2,0.0,0.0
295,8,6,6,3,91.2,147.8,377.2,12.7,19.6,43,4.9,0.0,0.0
296,6,5,6,6,53.4,71.0,233.8,0.4,10.6,90,2.7,0.0,0.0
297,6,5,6,1,90.4,93.3,298.1,7.5,20.7,25,4.9,0.0,0.0
298,6,5,6,1,90.4,93.3,298.1,7.5,19.1,39,5.4,0.0,3.52
299,3,6,6,5,91.1,94.1,232.1,7.1,19.2,38,4.5,0.0,0.0
301,1,4,9,7,89.6,84.1,714.3,5.7,19.0,52,2.2,0.0,0.0
302,7,4,9,7,89.6,84.1,714.3,5.7,17.1,53,5.4,0.0,0.41
303,3,4,9,7,89.6,84.1,714.3,5.7,23.8,35,3.6,0.0,5.18
304,2,4,9,7,92.4,105.8,758.1,9.9,16.0,45,1.8,0.0,0.0
305,2,4,9,7,92.4,105.8,758.1,9.9,24.9,27,2.2,0.0,0.0
306,7,4,9,7,92.4,105.8,758.1,9.9,25.3,27,2.7,0.0,0.0
307,6,3,9,7,92.4,105.8,758.1,9.9,24.8,28,1.8,0.0,14.29
308,2,4,9,7,50.4,46.2,706.6,0.4,12.2,78,6.3,0.0,0.0
309,6,5,9,3,92.6,115.4,777.1,8.8,24.3,27,4.9,0.0,0.0
310,4,4,9,3,92.6,115.4,777.1,8.8,19.7,41,1.8,0.0,1.58
311,3,4,9,3,91.2,134.7,817.5,7.2,18.5,30,2.7,0.0,0.0
312,4,5,9,4,92.4,96.2,739.4,8.6,18.6,24,5.8,0.0,0.0
313,4,4,9,4,92.4,96.2,739.4,8.6,19.2,24,4.9,0.0,3.78
314,6,5,9,4,92.8,119.0,783.5,7.5,21.6,27,2.2,0.0,0.0
315,5,4,9,4,92.8,119.0,783.5,7.5,21.6,28,6.3,0.0,4.41
316,6,3,9,4,92.8,119.0,783.5,7.5,18.9,34,7.2,0.0,34.36
317,1,4,9,4,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0,7.21
318,6,5,9,4,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0,1.01
319,3,5,9,4,90.7,136.9,822.8,6.8,12.9,39,2.7,0.0,2.18
320,6,5,9,4,88.1,53.3,726.9,5.4,13.7,56,1.8,0.0,4.42
321,1,4,9,6,92.2,102.3,751.5,8.4,24.2,27,3.1,0.0,0.0
322,5,4,9,6,92.2,102.3,751.5,8.4,24.1,27,3.1,0.0,0.0
323,6,5,9,6,92.2,102.3,751.5,8.4,21.2,32,2.2,0.0,0.0
324,6,5,9,6,92.2,102.3,751.5,8.4,19.7,35,1.8,0.0,0.0
